"id","name","owner","lng","lat","description"
"68","Blackwater","BHP","148.807358","-23.685585","Name: Blackwater<br />State: QLD<br />Longitude: 148.807361<br />Latitude: -23.685585<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"69","Burton",,"148.172562","-21.588585","Name: Burton<br />State: QLD<br />Longitude: 148.172558<br />Latitude: -21.588585<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.peabodyenergy.com.au'>Peabody Energy Australia</a><br />"
"70","Callide",,"150.622177","-24.310921","Name: Callide<br />State: QLD<br />Longitude: 150.622173<br />Latitude: -24.310921<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.anglocoal.com.au/'>Anglo Coal Australia Pty Ltd</a><br />"
"71","Clermont",,"147.630768","-22.689217","Name: Clermont<br />State: QLD<br />Longitude: 147.630768<br />Latitude: -22.689216<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.riotinto.com'>Rio Tinto</a><br /><a href='http://www.riotintocoalaustralia.com.au'>Rio Tinto Coal Australia</a><br />"
"72","Collinsville",,"147.768555","-20.567608","Name: Collinsville<br />State: QLD<br />Longitude: 147.768557<br />Latitude: -20.567608<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.itochu.co.jp/main/index_e.html'>Itochu Corporation</a><br />"
"73","Cook",,"148.914688","-23.709213","Name: Cook<br />State: QLD<br />Longitude: 148.914684<br />Latitude: -23.709213<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.caledonresources.com'>Caledon Resources plc</a><br />"
"74","Ensham",,"148.497452","-23.454464","Name: Ensham<br />State: QLD<br />Longitude: 148.497455<br />Latitude: -23.454464<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.ensham.com.au/'>Ensham Resources</a><br />"
"75","German Creek East",,"148.650070","-22.918036","Name: German Creek East<br />State: QLD<br />Longitude: 148.650065<br />Latitude: -22.918035<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.anglocoal.com.au/'>Anglo Coal Australia Pty Ltd</a><br />"
"76","Goonyella","BHP","147.962051","-21.792320","Name: Goonyella<br />State: QLD<br />Longitude: 147.962045<br />Latitude: -21.792321<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"77","Hail Creek",,"148.406799","-21.505383","Name: Hail Creek<br />State: QLD<br />Longitude: 148.406805<br />Latitude: -21.505383<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.riotinto.com'>Rio Tinto</a><br /><a href='http://www.riotintocoalaustralia.com.au'>Rio Tinto Coal Australia</a><br />"
"78","Jellinbah East",,"148.950638","-23.406874","Name: Jellinbah East<br />State: QLD<br />Longitude: 148.950644<br />Latitude: -23.406874<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.jellinbah.com.au'>Jellinbah Resources</a><br />"
"79","Kogan Creek",,"150.772629","-26.895716","Name: Kogan Creek<br />State: QLD<br />Longitude: 150.772631<br />Latitude: -26.895716<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.csenergy.com.au'>CS Energy</a><br />"
"80","Lake Vermont",,"148.438507","-22.399002","Name: Lake Vermont<br />State: QLD<br />Longitude: 148.438513<br />Latitude: -22.399002<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.lakevermontcoal.com.au'>Lake Vermont Coal</a><br />"
"81","Moranbah North",,"147.956741","-21.871330","Name: Moranbah North<br />State: QLD<br />Longitude: 147.956742<br />Latitude: -21.871331<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.anglocoal.com.au/'>Anglo Coal Australia Pty Ltd</a><br />"
"82","Dawson",,"150.059235","-24.616825","Name: Dawson<br />State: QLD<br />Longitude: 150.059238<br />Latitude: -24.616826<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.mining-technology.com/projects/moura/'>Moura Mine</a><br /><a href='http://www.anglocoal.com.au/'>Anglo Coal Australia Pty Ltd</a><br />"
"83","North Goonyella - Eaglefield",,"147.976608","-21.647551","Name: North Goonyella - Eaglefield<br />State: QLD<br />Longitude: 147.976615<br />Latitude: -21.647550<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.peabodyenergy.com.au'>Peabody Energy Australia</a><br />"
"84","Oaky Creek",,"148.493210","-23.041584","Name: Oaky Creek<br />State: QLD<br />Longitude: 148.493210<br />Latitude: -23.041584<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.itochu.co.jp/main/index_e.html'>Itochu Corporation</a><br />"
"85","Peak Downs","BHP","148.173065","-22.219913","Name: Peak Downs<br />State: QLD<br />Longitude: 148.173066<br />Latitude: -22.219914<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"86","Rolleston",,"148.410599","-24.444059","Name: Rolleston<br />State: QLD<br />Longitude: 148.410596<br />Latitude: -24.444059<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.sumitomocorp.co.jp/english/'>Sumitomo Corporation</a><br /><a href='http://www.itochu.co.jp/main/index_e.html'>Itochu Corporation</a><br />"
"87","Dawson South",,"150.030716","-24.876583","Name: Dawson South<br />State: QLD<br />Longitude: 150.030716<br />Latitude: -24.876583<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.anglocoal.com.au/'>Anglo Coal Australia Pty Ltd</a><br />"
"88","Saraji","BHP","148.291046","-22.369379","Name: Saraji<br />State: QLD<br />Longitude: 148.291051<br />Latitude: -22.369379<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"89","Commodore",,"151.279053","-27.930269","Name: Commodore<br />State: QLD<br />Longitude: 151.279051<br />Latitude: -27.930269<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.hpi.com.cn'>Huaneng Power International</a><br />"
"90","South Walker Creek","BHP","148.442719","-21.770943","Name: South Walker Creek<br />State: QLD<br />Longitude: 148.442713<br />Latitude: -21.770942<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"91","Boundary Hill",,"150.494064","-24.199444","Name: Boundary Hill<br />State: QLD<br />Longitude: 150.494057<br />Latitude: -24.199444<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.anglocoal.com.au/'>Anglo Coal Australia Pty Ltd</a><br />"
"92","Stratford",,"151.974701","-32.116070","Name: Stratford<br />State: NSW<br />Longitude: 151.974708<br />Latitude: -32.116070<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.gloucestercoal.com.au'>Gloucester Coal</a><br />"
"93","Poitrel","BHP","148.234375","-22.041216","Name: Poitrel<br />State: QLD<br />Longitude: 148.234381<br />Latitude: -22.041216<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"94","Middlemount",,"148.631622","-22.848131","Name: Middlemount<br />State: QLD<br />Longitude: 148.631626<br />Latitude: -22.848131<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.macarthurcoal.com.au'>Macarthur Coal Ltd</a><br />"
"95","Minerva",,"148.047134","-23.921375","Name: Minerva<br />State: QLD<br />Longitude: 148.047135<br />Latitude: -23.921376<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.felixresources.com.au'>Felix Resources</a><br /><a href='http://yancoalaustralia.com.au'>Yancoal Australia Pty Ltd</a><br />"
"96","Curragh North",,"148.873810","-23.379904","Name: Curragh North<br />State: QLD<br />Longitude: 148.873806<br />Latitude: -23.379904<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.wesfarmers.com.au'>Wesfarmers</a><br />"
"97","Muswellbrook No2",,"150.941391","-32.244987","Name: Muswellbrook No2<br />State: NSW<br />Longitude: 150.941392<br />Latitude: -32.244988<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.idemitsu.co.jp/e/'>Idemitsu Kosan Co Ltd</a><br />"
"98","Kestrel",,"148.370300","-23.241972","Name: Kestrel<br />State: QLD<br />Longitude: 148.370306<br />Latitude: -23.241972<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.riotinto.com'>Rio Tinto</a><br /><a href='http://www.riotintocoalaustralia.com.au'>Rio Tinto Coal Australia</a><br />"
"99","Austar",,"151.304626","-32.866856","Name: Austar<br />State: NSW<br />Longitude: 151.304621<br />Latitude: -32.866855<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.austarcoalmine.com.au'>Austar Coal Mine Pty Ltd</a><br /><a href='http://yancoalaustralia.com.au'>Yancoal Australia Pty Ltd</a><br />"
